Marca,Modelo,Tipo,Combustible,Consumo,Rendimiento,COP,Poder_Calorifico,Rango_Calefaccion,Precio_Adquisicion_IVA,Costo_Instalacion_IVA,Mantencion_IVA,Otros
Sindelen,SR 5200,Estufa Gas Radiante Infrarroja,Gas Licuado (GLP),269 gramos/hora,0.800 (80%),-,3182 Kcal/hora,34 m2 - 36 m2,"$      69.990,00",$ 0 (Portátil / Enchufable),"$ 20.000 / 2 años (Revisión regulador, manguera, inyectores)",Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Climastar,Pizarra Azabache,Estufa Eléctrica Placa Radiante,Electricidad,"2,0 kwh","1,0 (100%)",-,2000 watts,20 m2,"$    141.990,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Climastar,Pizarra Nieve,Estufa Eléctrica Placa Radiante,Electricidad,"2,0 kwh","1,0 (100%)",-,2000 watts,20 m2,"$    141.990,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Sindelen,Sunnymet EP 8000 PT,Estufa Kerosene Radiante (Quemador Cilíndrico),Kerosene,"0,23 lt/hora",0.800 (80%),-,2970 watts,17 - 26 m2,"$      79.990,00",$ 0 (Portátil / Enchufable),$ 25.000 / 2 años (Cambio mecha / mantención),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Emege,Rodante 3KWRG,Estufa Gas Convectiva,Gas Licuado (GLP),110 - 219 gramos/hora,0.800 (80%),-,2600 Kcal/hora,22 m2,"$    109.990,00",$ 0 (Portátil / Enchufable),"$ 20.000 / 2 años (Revisión regulador, manguera, inyectores)",Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Climastar,Caliza Blanco,Estufa Eléctrica Placa Radiante,Electricidad,"0,8 kwh","1,0 (100%)",-,800 watts,8 m2,"$    129.990,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
General Electric,GE AIR 109,Aire Acondicionado Split (Bomba de Calor),Electricidad,"1,25 kwh",-,2.11,2638 watts,Hasta 22 m2,"$    249.900,00",$ 100.000,"$ 40.000 / año (Limpieza filtros, chequeo refrigerante)",Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Kendal,NEW MAC 9000,Aire Acondicionado Split (Bomba de Calor),Electricidad,"1,315 kwh",-,2.01,2638 watts,18 - 20 m2,"$    259.990,00",$ 100.000,"$ 40.000 / año (Limpieza filtros, chequeo refrigerante)",Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Combi,ACN1 HR12,Aire Acondicionado Split (Bomba de Calor),Electricidad,"1,8 kwh",-,1.95,3517 watts,Hasta 29 m2,"$    289.990,00",$ 100.000,"$ 40.000 / año (Limpieza filtros, chequeo refrigerante)",Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
General Electric,GE AIR 112,Aire Acondicionado Split (Bomba de Calor),Electricidad,"1,5 kwh",-,2.34,3517 watts,Sin Información,"$    299.900,00",$ 100.000,"$ 40.000 / año (Limpieza filtros, chequeo refrigerante)",Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Kendal,VS 09 CH,Aire Acondicionado Split (Bomba de Calor),Electricidad,"0,95 kwh",-,2.78,2638 watts,Hasta 20 m2,"$    299.990,00",$ 100.000,"$ 40.000 / año (Limpieza filtros, chequeo refrigerante)",Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Ursus Trotter,Split LUX 9000 BTU-R22,Aire Acondicionado Split (Bomba de Calor),Electricidad,"1,315 kwh (**)",-,2.01,2638 watts,14 - 20 m2,"$    299.990,00",$ 100.000,"$ 40.000 / año (Limpieza filtros, chequeo refrigerante)",Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Ursus Trotter,Split LUX 12000 BTU-R22,Aire Acondicionado Split (Bomba de Calor),Electricidad,"1,5 kwh (**)",-,2.34,3517 watts,16 - 27 m2,"$    329.990,00",$ 100.000,"$ 40.000 / año (Limpieza filtros, chequeo refrigerante)",Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Kendal,VS 09 CH,Aire Acondicionado Split (Bomba de Calor),Electricidad,"1,26 kwh",-,2.79,3517 watts,Hasta 25 m2,"$    334.990,00",$ 100.000,"$ 40.000 / año (Limpieza filtros, chequeo refrigerante)",Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Ursus Trotter,Split LUX 9000 BTU-R410A,Aire Acondicionado Split (Bomba de Calor),Electricidad,"1,315 kwh (**)",-,2.01,2638 watts,14 - 20 m2,"$    336.900,00",$ 100.000,"$ 40.000 / año (Limpieza filtros, chequeo refrigerante)",Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Frigidaire,FSX18M5J,Aire Acondicionado Split (Bomba de Calor),Electricidad,"1,92 kwh",-,2.75,5275 watts,30 - 40 m2,"$    349.990,00",$ 100.000,"$ 40.000 / año (Limpieza filtros, chequeo refrigerante)",Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Ursus Trotter,Split LUX 12000 BTU-R410A,Aire Acondicionado Split (Bomba de Calor),Electricidad,"1,5 kwh (**)",-,2.34,3517 watts,16 - 27 m2,"$    349.990,00",$ 100.000,"$ 40.000 / año (Limpieza filtros, chequeo refrigerante)",Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Samsung,R410 18000 Btu,Aire Acondicionado Split (Bomba de Calor),Electricidad,"1,8 kwh",-,2.93,5275 watts,30 - 40 m2,"$    399.990,00",$ 100.000,"$ 40.000 / año (Limpieza filtros, chequeo refrigerante)",Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Samsung,R410 24000 Btu,Aire Acondicionado Split (Bomba de Calor),Electricidad,"2,49 kwh",-,2.82,7034 watts,Sin Información,"$    499.990,00",$ 100.000,"$ 40.000 / año (Limpieza filtros, chequeo refrigerante)",Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Ursus Trotter,Split LUX 18000 BTU-R410A,Aire Acondicionado Split (Bomba de Calor),Electricidad,"1,8 kwh (**)",-,2.93,5275 watts,30 - 42 m2,"$    544.900,00",$ 100.000,"$ 40.000 / año (Limpieza filtros, chequeo refrigerante)",Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Ursus Trotter,Split LUX 24000 BTU-R410A,Aire Acondicionado Split (Bomba de Calor),Electricidad,"2,49 kwh (**)",-,2.82,7034 watts,36 - 48 m2,"$    684.900,00",$ 100.000,"$ 40.000 / año (Limpieza filtros, chequeo refrigerante)",Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Mademsa,MFHK 550,Estufa Kerosene Convectiva c/Ventilador,Kerosene,"0,08 - 0,31 lt/hora",0.800 (80%),-,2580 Kcal/hora,Hasta 65 m2,"$    297.990,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Nipon Andino,PJC-W13F,Estufa Gas Convectiva,Gas Licuado (GLP),294 gramos/hora (**),0.800 (80%),-,3224 Kcal/hora,Hasta 80 m2,"$    399.990,00",$ 0 (Portátil / Enchufable),"$ 20.000 / 2 años (Revisión regulador, manguera, inyectores)",Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Magefesa,MGF 1237,Termoventilador Eléctrico,Electricidad,"2,0 kwh","1,0 (100%)",-,2000 watts,Sin Información,"$      12.990,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Somela,Hotty,Calefactor Eléctrico a Cuarzo,Electricidad,"0,5 - 1,0 kwh","1,0 (100%)",-,1000 watts,Sin Información,"$      14.980,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Somela,Radiant 2,Calefactor Eléctrico a Cuarzo,Electricidad,"0,5 - 1,0 kwh","1,0 (100%)",-,1000 watts,Sin Información,"$      12.480,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Somela,HN-2000,Estufa Eléctrica Halógena,Electricidad,"0,6 - 1,2 kwh","1,0 (100%)",-,1200 watts,Sin Información,"$      17.980,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Valory,VC-1800T,Convector Eléctrico,Electricidad,"0,65 - 1,75 kwh","1,0 (100%)",-,1750 watts,Sin Información,"$      21.980,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Valory,FH-404,Termoventilador Eléctrico,Electricidad,"0,9 - 1,8 kwh","1,0 (100%)",-,1800 watts,Sin Información,"$      12.480,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Somela,FT-6400,Termoventilador Eléctrico,Electricidad,"2,0 kwh","1,0 (100%)",-,2000 watts,Sin Información,"$      16.980,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Nex,RE 209,Calefactor Óleo-eléctrico,Electricidad,"0,8 - 2,0 kwh","1,0 (100%)",-,2000 watts,Sin Información,"$        9.990,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Ursus Trotter,UT 7T,Calefactor Óleo-eléctrico,Electricidad,"1,5 kwh","1,0 (100%)",-,1500 watts,Sin Información,"$      39.990,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Ursus Trotter,UT 9T,Calefactor Óleo-eléctrico,Electricidad,"0,75 - 2,0 kwh","1,0 (100%)",-,2000 watts,21 m2,"$      56.990,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Sindelen,Sunny Red SR-3200,Estufa Gas Radiante Infrarroja,Gas Licuado (GLP),269 gramos/hora,0.800 (80%),-,3700 watts,34 - 36 m2,"$      40.000,00",$ 0 (Portátil / Enchufable),"$ 20.000 / 2 años (Revisión regulador, manguera, inyectores)",Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Mademsa,Vittale 15,Estufa Gas Radiante Infrarroja,Gas Licuado (GLP),254 gramos/hora,0.800 (80%),-,3000 Kcal/hora,11 - 19 m2,"$      69.990,00",$ 0 (Portátil / Enchufable),"$ 20.000 / 2 años (Revisión regulador, manguera, inyectores)",Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Mademsa,Candente 15,Estufa Gas Convectiva (Blue Flame),Gas Licuado (GLP),300 gramos/hora,0.800 (80%),-,4200 watts,Sin Información,"$      79.990,00",$ 0 (Portátil / Enchufable),"$ 20.000 / 2 años (Revisión regulador, manguera, inyectores)",Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Valory,Mini Red,Estufa Gas Radiante Infrarroja,Gas Licuado (GLP),100 - 200 gramos/hora,0.800 (80%),-,2365 Kcal/hora,Sin Información,"$      57.990,00",$ 0 (Portátil / Enchufable),"$ 20.000 / 2 años (Revisión regulador, manguera, inyectores)",Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Ursus Trotter,LM-4200,Estufa Gas Radiante Infrarroja,Gas Licuado (GLP),346 gramos/hora (**),0.800 (80%),-,4400 watts,Hasta 53 m2,"$      77.990,00",$ 0 (Portátil / Enchufable),"$ 20.000 / 2 años (Revisión regulador, manguera, inyectores)",Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Mademsa,Foguita Vitro II,Estufa Kerosene Radiante (Quemador Cilíndrico),Kerosene,"0,25 lt/hora",0.800 (80%),-,2192 Kcal/hora,Sin Información,"$      51.900,00",$ 0 (Portátil / Enchufable),$ 25.000 / 2 años (Cambio mecha / mantención),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Bosca,Eco 380,Estufa a Leña Combustión Lenta,Leña,"2,0 - 3,0 kg leña/hora",0.650 (65%),-,9000 Kcal/hora,50 - 150 m2,"$    193.990,00",$ 120.000,$ 30.000 / año (Deshollinado de ductos),Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Superser,Ecológica Plus,Estufa Gas Catalítica,Gas Licuado (Catalítico),210 gramos/hora,0.800 (80%),-,2500 Kcal/hora,Hasta 40 m2,"$      79.990,00",$ 0 (Portátil / Enchufable),"$ 20.000 / 2 años (Revisión regulador, manguera, inyectores)",Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Ursus Trotter,UT TBT 5000GN,Calefactor Gas Tiro Balanceado (Hermético),Gas Natural (GN),"0,53 m3/hora",0.800 (80%),-,5000 Kcal/hora,55 - 60 m2,"$    279.900,00",$ 75.000,"$ 20.000 / 2 años (Revisión regulador, manguera, inyectores)",Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Bosca,Eco 350,Estufa a Leña Combustión Lenta,Leña,"1,0 - 2,0 kg leña/hora",0.650 (65%),-,6000 Kcal/hora,30 - 100 m2,"$    149.900,00",$ 120.000,$ 30.000 / año (Deshollinado de ductos),Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Bosca,Spirit 500 Inox,Estufa a Pellet,Pellet,"0,5 - 2,0 kg leña/hora",0.850 (85%),-,10000 Kcal/hora,140 - 170 m2,"$    699.900,00",$ 120.000,"$ 45.000 / año (Limpieza crisol, extractor y ducto)",Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
